function,description
EC:4.2.1.106,Bile-acid 7-alpha-dehydratase
EC:4.2.1.107,hydratase
EC:4.2.1.108,Ectoine synthase
EC:4.2.1.109,Methylthioribulose 1-phosphate dehydratase
EC:4.2.1.11,Phosphopyruvate hydratase
EC:4.2.1.113,o-succinylbenzoate synthase
EC:4.2.1.114,Methanogen homoaconitase
EC:4.2.1.115,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)"
EC:4.2.1.116,3-hydroxypropionyl-CoA dehydratase
EC:4.2.1.118,3-dehydroshikimate dehydratase
EC:4.2.1.119,Enoyl-CoA hydratase 2
EC:4.2.1.12,Phosphogluconate dehydratase
EC:4.2.1.120,4-hydroxybutanoyl-CoA dehydratase
EC:4.2.1.126,N-acetylmuramic acid 6-phosphate etherase
EC:4.2.1.129,Squalene--hopanol cyclase
EC:4.2.1.130,D-lactate dehydratase
EC:4.2.1.131,"Carotenoid 1,2-hydratase"
EC:4.2.1.132,"2-hydroxyhexa-2,4-dienoate hydratase"
EC:4.2.1.135,"UDP-N-acetylglucosamine 4,6-dehydratase (configuration-retaining)"
EC:4.2.1.136,ADP-dependent NAD(P)H-hydrate dehydratase
EC:4.2.1.137,Sporulenol synthase
EC:4.2.1.140,Gluconate/galactonate dehydratase
EC:4.2.1.141,2-dehydro-3-deoxy-D-arabinonate dehydratase
EC:4.2.1.144,3-amino-5-hydroxybenzoate synthase
EC:4.2.1.147,"5,6,7,8-tetrahydromethanopterin hydro-lyase"
EC:4.2.1.148,2-methylfumaryl-CoA hydratase
EC:4.2.1.149,Crotonobetainyl-CoA hydratase
EC:4.2.1.151,Chorismate dehydratase
EC:4.2.1.153,3-methylfumaryl-CoA hydratase
EC:4.2.1.17,Enoyl-CoA hydratase
EC:4.2.1.18,Methylglutaconyl-CoA hydratase
EC:4.2.1.19,Imidazoleglycerol-phosphate dehydratase
EC:4.2.1.2,Fumarate hydratase
EC:4.2.1.20,Tryptophan synthase
EC:4.2.1.22,Cystathionine beta-synthase
EC:4.2.1.24,Porphobilinogen synthase
EC:4.2.1.25,L-arabinonate dehydratase
EC:4.2.1.28,Propanediol dehydratase
EC:4.2.1.3,Aconitate hydratase
EC:4.2.1.30,Glycerol dehydratase
EC:4.2.1.32,L(+)-tartrate dehydratase
EC:4.2.1.33,3-isopropylmalate dehydratase
EC:4.2.1.35,(R)-2-methylmalate dehydratase
EC:4.2.1.40,Glucarate dehydratase
EC:4.2.1.41,5-dehydro-4-deoxyglucarate dehydratase
EC:4.2.1.42,Galactarate dehydratase
EC:4.2.1.43,2-dehydro-3-deoxy-L-arabinonate dehydratase
EC:4.2.1.44,Myo-inosose-2 dehydratase
EC:4.2.1.45,"CDP-glucose 4,6-dehydratase"
EC:4.2.1.46,"dTDP-glucose 4,6-dehydratase"
EC:4.2.1.47,"GDP-mannose 4,6-dehydratase"
EC:4.2.1.49,Urocanate hydratase
EC:4.2.1.5,Arabinonate dehydratase
EC:4.2.1.51,Prephenate dehydratase
EC:4.2.1.53,Oleate hydratase
EC:4.2.1.55,3-hydroxybutyryl-CoA dehydratase
EC:4.2.1.56,Itaconyl-CoA hydratase
EC:4.2.1.57,Isohexenylglutaconyl-CoA hydratase
EC:4.2.1.59,3-hydroxyacyl-[acyl-carrier-protein] dehydratase
EC:4.2.1.6,Galactonate dehydratase
EC:4.2.1.68,L-fuconate dehydratase
EC:4.2.1.7,Altronate dehydratase
EC:4.2.1.75,Uroporphyrinogen-III synthase
EC:4.2.1.77,Trans-L-3-hydroxyproline dehydratase
EC:4.2.1.79,2-methylcitrate dehydratase
EC:4.2.1.8,Mannonate dehydratase
EC:4.2.1.80,2-oxopent-4-enoate hydratase
EC:4.2.1.83,4-oxalmesaconate hydratase
EC:4.2.1.84,Nitrile hydratase
EC:4.2.1.9,Dihydroxy-acid dehydratase
EC:4.2.1.90,L-rhamnonate dehydratase
EC:4.2.1.91,Arogenate dehydratase
EC:4.2.1.96,4a-hydroxytetrahydrobiopterin dehydratase
EC:4.2.1.99,2-methylisocitrate dehydratase
EC:4.2.2.1,Hyaluronate lyase
EC:4.2.2.10,Pectin lyase
EC:4.2.2.17,Inulin fructotransferase (DFA-I-forming)
EC:4.2.2.2,Pectate lyase
EC:4.2.2.20,Chondroitin-sulfate-ABC endolyase
EC:4.2.2.21,Chondroitin-sulfate-ABC exolyase
EC:4.2.2.23,Rhamnogalacturonan endolyase
EC:4.2.2.3,Poly(beta-D-mannuronate) lyase
EC:4.2.2.5,Chondroitin AC lyase
EC:4.2.2.6,Oligogalacturonide lyase
EC:4.2.2.7,Heparin lyase
EC:4.2.2.8,Heparin-sulfate lyase
EC:4.2.2.9,Pectate disaccharide-lyase
EC:4.2.3.1,Threonine synthase
EC:4.2.3.118,2-methylisoborneol synthase
EC:4.2.3.12,6-pyruvoyltetrahydropterin synthase
EC:4.2.3.130,Tetraprenyl-beta-curcumene synthase
EC:4.2.3.22,Germacradienol synthase
EC:4.2.3.3,Methylglyoxal synthase
EC:4.2.3.37,Epi-isozizaene synthase
EC:4.2.3.4,3-dehydroquinate synthase
EC:4.2.3.5,Chorismate synthase
EC:4.2.3.7,Pentalenene synthase
EC:4.2.3.75,(-)-germacrene D synthase
EC:4.2.3.96,Avermitilol synthase
EC:4.2.99.18,DNA-(apurinic or apyrimidinic site) lyase
EC:4.2.99.20,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
EC:4.2.99.21,Isochorismate lyase
EC:4.3.1.1,Aspartate ammonia-lyase
EC:4.3.1.12,Ornithine cyclodeaminase
EC:4.3.1.14,3-aminobutyryl-CoA ammonia-lyase
EC:4.3.1.15,Diaminopropionate ammonia-lyase
EC:4.3.1.17,L-serine ammonia-lyase
EC:4.3.1.18,D-serine ammonia-lyase
EC:4.3.1.19,Threonine ammonia-lyase
EC:4.3.1.2,Methylaspartate ammonia-lyase
EC:4.3.1.23,Tyrosine ammonia-lyase
EC:4.3.1.24,Phenylalanine ammonia-lyase
EC:4.3.1.29,D-glucosaminate-6-phosphate ammonia lyase
EC:4.3.1.3,Histidine ammonia-lyase
EC:4.3.1.4,Formimidoyltetrahydrofolate cyclodeaminase
EC:4.3.1.7,Ethanolamine ammonia-lyase
EC:4.3.2.1,Argininosuccinate lyase
EC:4.3.2.2,Adenylosuccinate lyase
EC:4.3.2.3,Ureidoglycolate lyase
EC:4.3.2.6,Gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase
EC:4.3.3.6,Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)
EC:4.3.3.7,4-hydroxy-tetrahydrodipicolinate synthase
EC:4.3.99.3,7-carboxy-7-deazaguanine synthase
EC:4.4.1.1,Cystathionine gamma-lyase
EC:4.4.1.11,Methionine gamma-lyase
EC:4.4.1.13,Cysteine-S-conjugate beta-lyase
EC:4.4.1.14,1-aminocyclopropane-1-carboxylate synthase
EC:4.4.1.15,D-cysteine desulfhydrase
EC:4.4.1.16,Selenocysteine lyase
EC:4.4.1.19,Phosphosulfolactate synthase
EC:4.4.1.2,Homocysteine desulfhydrase
EC:4.4.1.21,S-ribosylhomocysteine lyase
EC:4.4.1.22,S-(hydroxymethyl)glutathione synthase
EC:4.4.1.24,(2R)-sulfolactate sulfo-lyase
EC:4.4.1.25,L-cysteate sulfo-lyase
EC:4.4.1.3,Dimethylpropiothetin dethiomethylase
EC:4.4.1.5,Lactoylglutathione lyase
EC:4.4.1.8,Cystathionine beta-lyase
EC:4.6.1.1,Adenylate cyclase
EC:4.6.1.12,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
EC:4.6.1.13,Phosphatidylinositol diacylglycerol-lyase
EC:4.6.1.2,Guanylate cyclase
EC:4.7.1.1,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase
EC:4.99.1.1,Ferrochelatase
EC:4.99.1.2,Alkylmercury lyase
EC:4.99.1.3,Sirohydrochlorin cobaltochelatase
EC:4.99.1.4,Sirohydrochlorin ferrochelatase
EC:4.99.1.5,Aliphatic aldoxime dehydratase
EC:5.1.1.1,Alanine racemase
EC:5.1.1.13,Aspartate racemase
EC:5.1.1.17,Isopenicillin-N epimerase
EC:5.1.1.18,Serine racemase
EC:5.1.1.3,Glutamate racemase
EC:5.1.1.4,Proline racemase
EC:5.1.1.7,Diaminopimelate epimerase
EC:5.1.1.8,4-hydroxyproline epimerase
EC:5.1.2.2,Mandelate racemase
EC:5.1.2.3,3-hydroxybutyryl-CoA epimerase
EC:5.1.3.1,Ribulose-phosphate 3-epimerase
EC:5.1.3.10,CDP-paratose 2-epimerase
EC:5.1.3.13,"dTDP-4-dehydrorhamnose 3,5-epimerase"
EC:5.1.3.14,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
EC:5.1.3.15,Glucose-6-phosphate 1-epimerase
EC:5.1.3.18,"GDP-mannose 3,5-epimerase"
EC:5.1.3.2,UDP-glucose 4-epimerase
EC:5.1.3.20,ADP-glyceromanno-heptose 6-epimerase
EC:5.1.3.22,L-ribulose-5-phosphate 3-epimerase
EC:5.1.3.23,"UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase"
EC:5.1.3.24,N-acetylneuraminate epimerase
EC:5.1.3.25,dTDP-L-rhamnose 4-epimerase
EC:5.1.3.29,L-fucose mutarotase
EC:5.1.3.3,Aldose 1-epimerase
EC:5.1.3.30,D-psicose 3-epimerase
EC:5.1.3.31,D-tagatose 3-epimerase
EC:5.1.3.32,L-rhamnose mutarotase
EC:5.1.3.4,L-ribulose-5-phosphate 4-epimerase
EC:5.1.3.5,UDP-arabinose 4-epimerase
EC:5.1.3.6,UDP-glucuronate 4-epimerase
EC:5.1.3.7,UDP-N-acetylglucosamine 4-epimerase
EC:5.1.3.8,N-acylglucosamine 2-epimerase
EC:5.1.3.9,N-acylglucosamine-6-phosphate 2-epimerase
EC:5.1.99.1,Methylmalonyl-CoA epimerase
EC:5.1.99.3,Allantoin racemase
EC:5.1.99.4,Alpha-methylacyl-CoA racemase
EC:5.1.99.6,NAD(P)H-hydrate epimerase
EC:5.2.1.1,Maleate isomerase
EC:5.2.1.13,Prolycopene isomerase
EC:5.2.1.2,Maleylacetoacetate isomerase
EC:5.2.1.4,Maleylpyruvate isomerase
EC:5.2.1.8,Peptidylprolyl isomerase
EC:5.3.1.1,Triose-phosphate isomerase
EC:5.3.1.12,Glucuronate isomerase
EC:5.3.1.13,Arabinose-5-phosphate isomerase
EC:5.3.1.14,L-rhamnose isomerase
EC:5.3.1.16,isomerase
EC:5.3.1.17,5-dehydro-4-deoxy-D-glucuronate isomerase
EC:5.3.1.22,Hydroxypyruvate isomerase
EC:5.3.1.23,S-methyl-5-thioribose-1-phosphate isomerase
EC:5.3.1.24,Phosphoribosylanthranilate isomerase
EC:5.3.1.25,L-fucose isomerase
EC:5.3.1.26,Galactose-6-phosphate isomerase
EC:5.3.1.27,6-phospho-3-hexuloisomerase
EC:5.3.1.28,D-sedoheptulose 7-phosphate isomerase
EC:5.3.1.29,"Ribose 1,5-bisphosphate isomerase"
EC:5.3.1.30,5-deoxy-glucuronate isomerase
EC:5.3.1.31,Sulfoquinovose isomerase
EC:5.3.1.4,L-arabinose isomerase
EC:5.3.1.5,Xylose isomerase
EC:5.3.1.6,Ribose-5-phosphate isomerase
EC:5.3.1.8,Mannose-6-phosphate isomerase
EC:5.3.1.9,Glucose-6-phosphate isomerase
EC:5.3.2.5,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase"
EC:5.3.2.6,2-hydroxymuconate tautomerase
EC:5.3.2.8,4-oxalomesaconate tautomerase
EC:5.3.3.1,Steroid Delta-isomerase
EC:5.3.3.10,5-carboxymethyl-2-hydroxymuconate Delta-isomerase
EC:5.3.3.14,Trans-2-decenoyl-[acyl-carrier-protein] isomerase
EC:5.3.3.17,"Trans-2,3-dihydro-3-hydroxyanthranilate isomerase"
EC:5.3.3.18,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase"
EC:5.3.3.2,Isopentenyl-diphosphate Delta-isomerase
EC:5.3.3.3,Vinylacetyl-CoA Delta-isomerase
EC:5.3.3.4,Muconolactone Delta-isomerase
EC:5.3.3.8,Dodecenoyl-CoA isomerase
EC:5.3.4.1,Protein disulfide-isomerase
EC:5.3.99.10,Thiazole tautomerase
EC:5.3.99.11,2-keto-myo-inositol isomerase
EC:5.3.99.2,Prostaglandin-D synthase
EC:5.3.99.7,Styrene-oxide isomerase
EC:5.4.1.3,2-methylfumaryl-CoA isomerase
EC:5.4.2.10,Phosphoglucosamine mutase
EC:5.4.2.11,"Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)"
EC:5.4.2.12,"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"
EC:5.4.2.2,"Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)"
EC:5.4.2.6,Beta-phosphoglucomutase
EC:5.4.2.7,Phosphopentomutase
EC:5.4.2.8,Phosphomannomutase
EC:5.4.2.9,Phosphoenolpyruvate mutase
EC:5.4.3.2,"Lysine 2,3-aminomutase"
EC:5.4.3.3,"Beta-lysine 5,6-aminomutase"
EC:5.4.3.5,"D-ornithine 4,5-aminomutase"
EC:5.4.3.8,"Glutamate-1-semialdehyde 2,1-aminomutase"
EC:5.4.4.2,Isochorismate synthase
EC:5.4.99.1,Methylaspartate mutase
EC:5.4.99.12,tRNA pseudouridine(38-40) synthase
EC:5.4.99.15,(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase
EC:5.4.99.16,Maltose alpha-D-glucosyltransferase
EC:5.4.99.17,Squalene--hopene cyclase
EC:5.4.99.18,5-(carboxyamino)imidazole ribonucleotide mutase
EC:5.4.99.19,16S rRNA pseudouridine(516) synthase
EC:5.4.99.2,Methylmalonyl-CoA mutase
EC:5.4.99.20,23S rRNA pseudouridine(2457) synthase
EC:5.4.99.21,23S rRNA pseudouridine(2604) synthase
EC:5.4.99.22,23S rRNA pseudouridine(2605) synthase
EC:5.4.99.23,23S rRNA pseudouridine(1911/1915/1917) synthase
EC:5.4.99.24,23S rRNA pseudouridine(955/2504/2580) synthase
EC:5.4.99.25,tRNA pseudouridine(55) synthase
EC:5.4.99.26,tRNA pseudouridine(65) synthase
EC:5.4.99.27,tRNA pseudouridine(13) synthase
EC:5.4.99.28,tRNA pseudouridine(32) synthase
EC:5.4.99.29,23S rRNA pseudouridine(746) synthase
EC:5.4.99.5,Chorismate mutase
EC:5.4.99.58,Methylornithine synthase
EC:5.4.99.60,Cobalt-precorrin-8 methylmutase
EC:5.4.99.61,Precorrin-8X methylmutase
EC:5.4.99.62,D-ribose pyranase
EC:5.4.99.7,Lanosterol synthase
EC:5.4.99.9,UDP-galactopyranose mutase
EC:5.5.1.1,Muconate cycloisomerase
EC:5.5.1.19,Lycopene beta-cyclase
EC:5.5.1.2,"3-carboxy-cis,cis-muconate cycloisomerase"
EC:5.5.1.24,Tocopherol cyclase
EC:5.5.1.4,Inositol-3-phosphate synthase
EC:5.5.1.7,Chloromuconate cycloisomerase
EC:5.99.1.2,DNA topoisomerase
EC:5.99.1.3,DNA topoisomerase (ATP-hydrolyzing)
EC:6.1.1.1,Tyrosine--tRNA ligase
EC:6.1.1.10,Methionine--tRNA ligase
EC:6.1.1.11,Serine--tRNA ligase
EC:6.1.1.12,Aspartate--tRNA ligase
EC:6.1.1.13,D-alanine--poly(phosphoribitol) ligase
EC:6.1.1.14,Glycine--tRNA ligase
EC:6.1.1.15,Proline--tRNA ligase
EC:6.1.1.16,Cysteine--tRNA ligase
EC:6.1.1.17,Glutamate--tRNA ligase
EC:6.1.1.18,Glutamine--tRNA ligase
EC:6.1.1.19,Arginine--tRNA ligase
EC:6.1.1.2,Tryptophan--tRNA ligase
EC:6.1.1.20,Phenylalanine--tRNA ligase
EC:6.1.1.21,Histidine--tRNA ligase
EC:6.1.1.22,Asparagine--tRNA ligase
EC:6.1.1.23,Aspartate--tRNA(Asn) ligase
EC:6.1.1.24,Glutamate--tRNA(Gln) ligase
EC:6.1.1.27,O-phosphoserine--tRNA ligase
EC:6.1.1.3,Threonine--tRNA ligase
EC:6.1.1.4,Leucine--tRNA ligase
EC:6.1.1.5,Isoleucine--tRNA ligase
EC:6.1.1.6,Lysine--tRNA ligase
EC:6.1.1.7,Alanine--tRNA ligase
EC:6.1.1.9,Valine--tRNA ligase
EC:6.1.2.1,D-alanine--(R)-lactate ligase
EC:6.2.1.1,Acetate--CoA ligase
EC:6.2.1.12,4-coumarate--CoA ligase
EC:6.2.1.13,Acetate--CoA ligase (ADP-forming)
EC:6.2.1.14,6-carboxyhexanoate--CoA ligase
EC:6.2.1.16,Acetoacetate--CoA ligase
EC:6.2.1.17,Propionate--CoA ligase
EC:6.2.1.18,Citrate--CoA ligase
EC:6.2.1.2,Butyrate--CoA ligase
EC:6.2.1.20,Long-chain-fatty-acid--[acyl-carrier-protein] ligase
EC:6.2.1.22,[Citrate (pro-3S)-lyase] ligase
EC:6.2.1.25,Benzoate--CoA ligase
EC:6.2.1.26,o-succinylbenzoate--CoA ligase
EC:6.2.1.27,4-hydroxybenzoate--CoA ligase
EC:6.2.1.3,Long-chain-fatty-acid--CoA ligase
EC:6.2.1.30,Phenylacetate--CoA ligase
EC:6.2.1.31,2-furoate--CoA ligase
EC:6.2.1.32,Anthranilate--CoA ligase
EC:6.2.1.34,Trans-feruloyl-CoA synthase
EC:6.2.1.36,3-hydroxypropionyl-CoA synthase
EC:6.2.1.39,[Butirosin acyl-carrier protein]--L-glutamate ligase
EC:6.2.1.40,4-hydroxybutyrate--CoA ligase
EC:6.2.1.5,Succinate--CoA ligase (ADP-forming)
EC:6.2.1.9,Malate--CoA ligase
EC:6.3.1.1,Aspartate--ammonia ligase
EC:6.3.1.10,Adenosylcobinamide-phosphate synthase
EC:6.3.1.11,Glutamate--putrescine ligase
EC:6.3.1.12,D-aspartate ligase
EC:6.3.1.13,ligase
EC:6.3.1.2,Glutamate--ammonia ligase
EC:6.3.1.5,NAD(+) synthase
EC:6.3.1.8,Glutathionylspermidine synthase
EC:6.3.2.1,Pantoate--beta-alanine ligase (AMP-forming)
EC:6.3.2.10,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EC:6.3.2.12,Dihydrofolate synthase
EC:6.3.2.13,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
EC:6.3.2.17,Tetrahydrofolate synthase
EC:6.3.2.2,Glutamate--cysteine ligase
EC:6.3.2.25,Tubulin--tyrosine ligase
EC:6.3.2.29,Cyanophycin synthase (L-aspartate-adding)
EC:6.3.2.3,Glutathione synthase
EC:6.3.2.30,Cyanophycin synthase (L-arginine-adding)
EC:6.3.2.31,Coenzyme F420-0:L-glutamate ligase
EC:6.3.2.32,Coenzyme gamma-F420-2:alpha-L-glutamate ligase
EC:6.3.2.33,Tetrahydrosarcinapterin synthase
EC:6.3.2.34,Coenzyme F420-1:gamma-L-glutamate ligase
EC:6.3.2.35,D-alanine--D-serine ligase
EC:6.3.2.36,4-phosphopantoate--beta-alanine ligase
EC:6.3.2.38,N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
EC:6.3.2.39,Aerobactin synthase
EC:6.3.2.4,D-alanine--D-alanine ligase
EC:6.3.2.43,[Lysine-biosynthesis-protein LysW]--L-2-aminoadipate ligase
EC:6.3.2.49,L-alanine--L-anticapsin ligase
EC:6.3.2.5,Phosphopantothenate--cysteine ligase
EC:6.3.2.6,Phosphoribosylaminoimidazolesuccinocarboxamide synthase
EC:6.3.2.7,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
EC:6.3.2.8,UDP-N-acetylmuramate--L-alanine ligase
EC:6.3.2.9,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
EC:6.3.3.1,Phosphoribosylformylglycinamidine cyclo-ligase
EC:6.3.3.2,5-formyltetrahydrofolate cyclo-ligase
EC:6.3.3.3,Dethiobiotin synthase
EC:6.3.3.4,(Carboxyethyl)arginine beta-lactam-synthase
EC:6.3.3.5,O-ureido-D-serine cyclo-ligase
EC:6.3.4.13,Phosphoribosylamine--glycine ligase
EC:6.3.4.14,Biotin carboxylase
EC:6.3.4.15,Biotin--[acetyl-CoA-carboxylase] ligase
EC:6.3.4.18,5-(carboxyamino)imidazole ribonucleotide synthase
EC:6.3.4.19,tRNA(Ile)-lysidine synthetase
EC:6.3.4.2,CTP synthase (glutamine hydrolyzing)
EC:6.3.4.20,7-cyano-7-deazaguanine synthase
EC:6.3.4.21,Nicotinate phosphoribosyltransferase
EC:6.3.4.22,tRNA(Ile)(2)-agmatinylcytidine synthase
EC:6.3.4.23,Formate--phosphoribosylaminoimidazolecarboxamide ligase
EC:6.3.4.3,Formate--tetrahydrofolate ligase
EC:6.3.4.4,Adenylosuccinate synthase
EC:6.3.4.5,Argininosuccinate synthase
EC:6.3.4.6,Urea carboxylase
EC:6.3.5.1,NAD(+) synthase (glutamine-hydrolyzing)
EC:6.3.5.10,Adenosylcobyric acid synthase (glutamine-hydrolyzing)
EC:6.3.5.11,"Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)"
EC:6.3.5.2,GMP synthase (glutamine-hydrolyzing)
EC:6.3.5.3,Phosphoribosylformylglycinamidine synthase
EC:6.3.5.4,Asparagine synthase (glutamine-hydrolyzing)
EC:6.3.5.5,Carbamoyl-phosphate synthase (glutamine-hydrolyzing)
EC:6.3.5.6,Asparaginyl-tRNA synthase (glutamine-hydrolyzing)
EC:6.3.5.7,Glutaminyl-tRNA synthase (glutamine-hydrolyzing)
EC:6.3.5.9,"Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)"
EC:6.4.1.1,Pyruvate carboxylase
EC:6.4.1.2,Acetyl-CoA carboxylase
EC:6.4.1.3,Propionyl-CoA carboxylase
EC:6.4.1.4,Methylcrotonoyl-CoA carboxylase
EC:6.4.1.5,Geranoyl-CoA carboxylase
EC:6.4.1.6,Acetone carboxylase
EC:6.5.1.1,DNA ligase (ATP)
EC:6.5.1.2,DNA ligase (NAD(+))
EC:6.5.1.3,RNA ligase (ATP)
EC:6.5.1.4,RNA 3'-terminal-phosphate cyclase (ATP)
EC:6.5.1.5,RNA 3'-terminal-phosphate cyclase (GTP)
EC:6.5.1.6,DNA ligase (ATP or NAD(+))
EC:6.5.1.7,"DNA ligase (ATP, ADP or GTP)"
EC:6.6.1.1,Magnesium chelatase
EC:6.6.1.2,Cobaltochelatase
